DateTime_start,date,duration,T,Rh,Cₐ,PAR_instruction,Ri_PAR_f,Scenario,Sequence,Plant,transpiration_diff_g_s,transpiration_linear_g_s,CO2_outflux_umol_s,Wind
2021-03-13T11:05:30.0,2021-03-13T11:05:30.0,5 minutes,32.036363636363646,0.572,397.90909090909093,0.32,207.66080000000002,Cloudy,4,5,0.004841059602648971,0.004630371694102432,0.782561713,10.0
2021-03-13T11:15:30.0,2021-03-13T11:15:30.0,5 minutes,32.10000000000001,0.5676363636363635,398.09090909090907,0.33,214.15020000000004,Cloudy,4,5,0.005417218543046249,0.00489321454480411,0.807796729,10.0
2021-03-13T11:25:30.0,2021-03-13T11:25:30.0,5 minutes,32.10000000000001,0.567,397.90909090909093,0.33090909090909093,214.74014545454548,Cloudy,4,5,0.005320132013201584,0.004559116098505124,0.824479672,10.0
2021-03-13T11:35:30.0,2021-03-13T11:35:30.0,5 minutes,32.10000000000001,0.562818181818182,397.90909090909093,0.34,220.63960000000003,Cloudy,4,5,0.005996677740864755,0.005724614891529439,0.846144899,10.0
2021-03-13T11:45:30.0,2021-03-13T11:45:30.0,5 minutes,32.13636363636363,0.5595454545454545,397.27272727272725,0.35,227.129,Cloudy,4,5,0.00584090909090902,0.005399638405540498,0.86473172,10.0
2021-03-13T11:55:30.0,2021-03-13T11:55:30.0,5 minutes,32.31818181818181,0.5533636363636365,396.6363636363636,0.35090909090909095,227.7189454545455,Cloudy,4,5,0.006732673267326613,0.005490071363618729,0.88651927,10.0
2021-03-13T12:05:30.0,2021-03-13T12:05:30.0,5 minutes,32.60000000000001,0.5415454545454544,396.0,0.36,233.6184,Cloudy,4,5,0.006552980132451223,0.005378847864991749,0.898341557,10.0
2021-03-13T12:15:30.0,2021-03-13T12:15:30.0,4 minutes,32.60000000000001,0.5348181818181817,396.3636363636364,0.37,240.10780000000003,Cloudy,4,5,0.005601659751036967,0.005079942126661928,0.912159435,10.0
2021-03-13T12:24:30.0,2021-03-13T12:24:30.0,5 minutes,32.60000000000001,0.5327272727272727,396.27272727272725,0.37,240.10780000000003,Cloudy,4,5,0.006601941747572697,0.005963887865302635,0.92402969,10.0
2021-03-13T12:34:30.0,2021-03-13T12:34:30.0,5 minutes,32.60000000000001,0.5326363636363637,395.54545454545456,0.38,246.59720000000002,Cloudy,4,5,0.005619205298013631,0.0051551972918868665,0.941574728,10.0
2021-03-13T12:44:30.0,2021-03-13T12:44:30.0,5 minutes,32.672727272727265,0.5287272727272727,395.54545454545456,0.3881818181818182,251.90670909090912,Cloudy,4,5,0.005691056910569476,0.0046853504753026215,0.956110606,10.0
2021-03-13T12:54:30.0,2021-03-13T12:54:30.0,5 minutes,32.699999999999996,0.522090909090909,395.1818181818182,0.39,253.08660000000003,Cloudy,4,5,0.006541254125412445,0.006014818125388358,0.969843806,10.0
2021-03-13T13:04:30.0,2021-03-13T13:04:30.0,5 minutes,32.699999999999996,0.5283636363636363,394.72727272727275,0.4,259.576,Cloudy,4,5,0.007115511551154948,0.005991305554729469,0.985019414,10.0
2021-03-13T13:14:30.0,2021-03-13T13:14:30.0,5 minutes,32.78181818181819,0.5279090909090908,394.8181818181818,0.3918181818181818,254.26649090909092,Cloudy,4,5,0.00604620462046165,0.005415871080311908,0.992708815,10.0
2021-03-13T13:24:30.0,2021-03-13T13:24:30.0,5 minutes,32.800000000000004,0.5269090909090908,395.0,0.39,253.08660000000003,Cloudy,4,5,0.006250825082509019,0.00556863366023184,0.99177216,10.0
2021-03-13T13:34:30.0,2021-03-13T13:34:30.0,5 minutes,32.800000000000004,0.5289999999999998,395.09090909090907,0.38,246.59720000000002,Cloudy,4,5,0.0061192052980131,0.005534942357716644,0.978305337,10.0
2021-03-13T13:44:30.0,2021-03-13T13:44:30.0,5 minutes,32.68181818181819,0.5389999999999998,394.90909090909093,0.3718181818181818,241.28769090909094,Cloudy,4,5,0.004863221884498204,0.004289143411253607,0.968906322,10.0
2021-03-13T13:54:30.0,2021-03-13T13:54:30.0,5 minutes,32.327272727272735,0.5551818181818181,395.09090909090907,0.37,240.10780000000003,Cloudy,4,5,0.005702970297029919,0.004758943071371617,0.952396609,10.0
2021-03-13T14:04:30.0,2021-03-13T14:04:30.0,5 minutes,32.300000000000004,0.5589090909090908,395.3636363636364,0.36,233.6184,Cloudy,4,5,0.005046511627906239,0.004531238384182512,0.943196635,10.0
2021-03-13T14:14:30.0,2021-03-13T14:14:30.0,5 minutes,32.300000000000004,0.5543636363636363,395.45454545454544,0.3518181818181818,228.30889090909093,Cloudy,4,5,0.005183606557377479,0.004656333830104546,0.936946038,10.0
